source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
rjunee/neutron	main	11775	2178	104	0	240	344	706747	4328	48afff691c3e433bc2a4eaa520f1e8e527e093ada299040a2e062157e96a3a91	ok	
X-McKay/bakudo	main	11862	98	3	0	25	28	6370	1306	a1fa55651330228a9cc171d4828661dc6cb99107c32e82a3f3745272296df552	ok	
terva-sh/terva	release	11996	918	6	33	0	39	24625	2196	c45afd98cf1cb8dfaed7cc429474fbafac21d02018529e123a11ff37f282fcf5	ok	
graphrefly/graphrefly-ts	main	12010	1572	1	59	13	73	66706	6096	fa03867744017d4f625c9268706c194464ca62f28347c28f635e38e7bfd85d2b	ok	
nevenincs/vaultspec-core	main	12028	1283	3	36	117	156	142618	4941	2d6c75f572aa92b78cf4d2523cd02c795bfda2b7f23d2a02ccb3a3eb679fd345	ok	
zhangyi-nb1/localflow	main	12273	481	1	40	0	41	11769	990	5e4b6037bfb02ed27e908bc2898ecfeb4288fc263b34bbb2aec6927699b76420	ok	
clawboo/clawboo	main	13103	1207	1	31	46	78	33690	2196	492b609f12c9a6ee892c5b8f5f354a4a76d5cc64fc79e9e396b7d5ceb7f31686	ok	
zachxtr/portable-agent-harness	main	13108	80	1	0	0	1	80	72	990d021c6c9cd75b1d0376d80a7fd8add9c2d543a720a59bbe241d8cda9920d8	ok	
AutoJunjie/awesome-agent-harness	main	14999	22	3	0	40	43	934	46	333f923a30a7e1b5333d20c70aa7413601f880cf461c9d52b9e3924fd080ea7c	ok	
infoechoes/AutoBCI-Harness	main	15337	115	3	0	14	17	1956	168	6a62d139622a74df735c5247b52727c5ff3bc00c157ae5f5c385a188b0ee5cfc	ok	
