source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
leodido/structcli	main	7962	194	79	14	172	265	30092	987	5937c9dd1ba366a2764d9ccae7bab80995421d29de4c9a9bb9a30b4b10c5e20b	ok	
prakashkagitha/evolving-agent-harnesses	main	8113	239	2	0	1	3	686	239	ebe4563e4cea79c09726d122ce1ba5866d6a4ec70eb84ed92fd06982d8f6113f	ok	
Abbasi-Alain/atlas	main	8186	118	17	16	22	55	5787	263	a0587f5588a1b7af1fea1bae2b35a521a1b15669fc726416c0890590aa0d612d	ok	
Zleap-AI/Zleap-Agent	main	8223	721	1	10	2	13	7742	962	9349d83d5d159ce529e3c5854a2d343b727d6c501f58e7cbf9ee4ecbf565bebd	ok	
SihyeonJeon/why-was-fable-banned	main	8315	64	1	1	0	2	99	93	7a493181c743725c89830e96a6276006811701072879386076d89fc8eca8351b	ok	
elhenro/bee	main	8354	894	2	2	0	4	3333	1171	eeef8dd3461d213be542a5e11b35226d4e846e8382184bb55e8614be6ba51f90	ok	
whut09/paper_agent	main	8583	122	7	0	16	23	2100	202	2221a24dc8863b2f0cce543a5c5b2ec9816d8159b59c3c1b266f508987d5db23	ok	
mossagents/moss	main	8706	878	2	0	1	3	1540	1359	d2b6b01c5be250efc4299aa52b308a97c8c04457eee622547742f473cb810fdd	ok	
romiluz13/cc10x	main	8910	154	4	29	15	48	4061	1365	7c38df998989ef5bab6ed4e61b64e62cd6b69447b742f173e7d0c791e31b34bf	ok	
Open-Harness/open-harness	master	8941	278	7	2	88	97	54359	3974	3fd7ede592385c4a6c0f436b69ff53fbe8e5b3ce5b70c3760e843d133200e208	ok	
