source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
wulawulu/learn-claude-code-rs	main	1587	344	6	1	0	7	2147	325	f8376e1f452fc95239faa723250427b4f39813fd12a700e069f796c24b560637	ok	
the-sid-dani/second-brain-os	main	1595	260	1	27	4	32	9514	700	a999264d09c88f4440daad239db397894ce2a9f37782021e9bf8c7c961457342	ok	
elvismusli/onlyharness	main	1606	177	1	0	0	1	177	159	8b2f8391bbd0a59d5d52c924dedd4ee1ea33801102be4dca63fbc1f6e544217e	ok	
omarismailb/product-wiki	main	1642	158	1	2	5	8	1127	306	ffb893c63eba7155d8d43fda552ab62e045a68512c8bcca9584ee2544f335148	ok	
codexceed/avatar-harness	main	1649	256	4	14	104	122	19680	1095	4e3a3a36a0c6478dcab5a9437e55f784d75ef9d5bcfce077cf01adb9b25722de	ok	
harshalmore31/phoenix-os	main	1657	283	5	26	0	31	5034	667	3ecb5e7e803b325b7d29221a49350d96db6e55ee95cb5fa7e187a42931e02aea	ok	
framein-dev/framein	main	1689	161	1	0	0	1	161	161	643fa641799f1269c3c941d26f1e20826d292e4c46626ec20152a6473d259240	ok	
BicaMindLabs/FuguNano	main	1695	473	1	1	12	14	5881	759	97600e37db494cdfa5edcd74a1a50d88f1b5f09fbc964a4c4e648f9f31c7b82c	ok	
TRocket-Labs/vectorlint	main	1751	250	61	9	99	169	25183	1153	b96141802eb1033dfadf8f6bd3e27c3c7c63eefc5d57c25b17cc153fd653fd07	ok	
shiftbloom-studio/myosotis	main	1762	108	1	0	1	2	212	107	fe6d2b08ffd54844df8722ecdfaa6b0939a508c245d1e3a2c53a6f1ae1b65713	ok	
EthanSK/agent-bridge	main	1813	148	5	4	4	13	1234	313	0cc30b2bf1a02e1b626ab0d99659d76367fbf339d714a7af9bd2cfa72c704251	ok	
xiaonancs/hermes-agent-study	main	1819	46	3	0	2	5	208	70	61ba98172868bb82144db8acf76f6b1211bf4e1912d1816d2088c597b22aee50	ok	
mattolson/agent-sandbox	main	1925	361	3	5	125	133	23526	1280	c4cc2f03ba06a97c2b5f220cc149752eab97fc8a3bc52e769c54c74a8ee06fd4	ok	
marius-patrik/agents-harness	main	1951	48	3	2	107	112	337208	9512	1fcaed5ca2fe44c819625c78578baef3cf303b27beb93ba5d15f65787276dad8	ok	
lyc-aon/successor-agent	master	1953	285	1	18	0	19	4573	669	d4049142657db8b03c2ad44989c84b775f88dc37b100131b55936f3cf69a1a98	ok	
Peadarpol/ai-delivery-control	main	1962	304	3	15	25	43	10206	739	4fc954bc68d32856f6b3673991387f07217a5061d8079593628b4c930fc9e981	ok	
sunrisefromdark/sunrisefromdark.github.io	main	1975	14	1	0	0	1	14	14	c8f6094c2211a69070f4e6c5f4b362583acd00c2a079b63fbe651ed2a7cf2834	ok	
ar27111994/agent-harness	main	2027	354	9	14	67	90	20651	1384	97b0bda49337dc08c2bea305f9f2a103f26615417b627ea0641bf41fb3378102	ok	
listener-He/java-harness-agent	claude-code	2031	178	4	5	0	9	1215	620	3946398cfa77674f206bee794b1dee1d847ebcdffd4933758ebea09335c84515	ok	
human-again/orbit	master	2038	124	2	1	4	7	834	128	85303328ac84027c9760fdf97b25a2dfe7fc02b2a6753142d101110aad2be0ad	ok	
microsoft/Build26-BRK243-claw-and-agent-harness-in-microsoft-foundry	main	2089	175	1	0	0	1	175	174	3dac710d9efb9162a69ae55defa97ea6d29cf66cf4a9cf6ca1ba2ca904a2b883	ok	
BeamusWayne/Alfred	main	2160	275	2	11	0	13	2979	590	37e5934c281fa167a8a24cc422d54b652f3ce93ed2f50262ce7d2f3333373d1c	ok	
MeherBhaskar/agent-rigor	main	2192	48	1	0	0	1	48	48	db190717823e39e09f1a8eca3ce22b2070c4eddbf8ab2727332c2548e309e19a	ok	
Coral-Bricks-AI/reef	main	2600	249	1	3	14	18	1604	474	d63f3c51d5a6aab05a8975c0e083c117f6372fa9755d37d37f60523a45525225	ok	
zxpmail/ReqForge	main	2614	1931	3	4	3	10	18557	974	247d91bac94c4454e675a7baee4402afc4861af721e57ee473d8b70a08be7670	ok	
MonyetBatu/practice-theory-implementation	main	2666	389	1	2	0	3	481	427	afa82351a546ebb05f5f6dcdb758cfd264c560f35983e092b2dc13db83bc280e	ok	
maxkskhor/pokemon-harness	pokemon-harness	2682	109	1	0	0	1	109	106	5b5278601fd415bd5aba14cfe3aefa39c64804017378cb9a705e57e77fd79990	ok	
bettyguo/harness-engineer-roadmap	main	2752	115	1	0	0	1	115	115	40a5113637bed8e826332f56c0425d5fd3ad0291c00359079d018c5a8a151e3c	ok	
droidnoob/hew	main	2752	316	49	17	54	120	29590	979	7a1b41b6ed85abe25746327671b03e656e4e313a86053d93fbb45c4a34ca208e	ok	
SonicBotMan/SoloFlow	main	2762	73	20	9	40	69	14810	680	ff17f9ac932ed076e85b1d0837010a1751642334ee58cc1f5a060c471201d143	ok	
ghbvf/bridle	main	2801	27	1	0	0	1	27	25	e286dc8080afbc91a605b2939d0056602b9667653f4468960149ce4e584b4085	ok	
Nairon-AI/flux	main	2816	294	7	101	133	241	57421	1739	cfeb166b942437c0e81073bf608ea98ef6165e975acd61e78a061adb9fe48a09	ok	
Jonhvmp/leopold	main	2841	196	3	20	37	59	7599	553	4fdb879edbab4b7295527af9513822e984c6a53476fd5e4a8bafbb1f091a10af	ok	
NeuroverseOS/Neuroverseos-governance	main	2890	339	1	15	137	153	33092	934	5af2fea3eb3fdbff6dffe5c19819aa64b5f65e8f909095ded7e38f47a85c7e3a	ok	
maisieyang/build-my-own-harness	main	2932	523	1	3	1	5	2071	616	c92695a294bc11b6fb7ca4a576dcab5bc4b8fac1afc6272000e94e64a92f5490	ok	
0xNyk/lacp	main	2974	462	75	14	118	207	74797	935	faad7ed35abc000988c47ccdee89f913a9a0aac72bb297a466f1001d09b74899	ok	
hoiung/sst3-ai-harness	main	3003	271	2	3	7	12	2338	445	53d6b324a0e639f690410171963436de5e6f6831af11db353da18c5a38f7d610	ok	
onblueroses/strata	main	3004	275	1	0	0	1	275	275	5245c67052deb7cca4c9b7a1811d50c9c0e717c89f283df5ca4fee7443a75b52	ok	
chalkagents/chalk-protocol	dev	3040	167	5	1	75	81	7858	511	7e11195a33a097c6712b351da3124f3abffd3c808f70730ef3608bfa8a5b36a1	ok	
GeorgeWingg/Neural-Computer	main	3043	104	2	3	0	5	629	219	6e209d3fdecf22bb73c04005d15e89392323e2f2afbc0f473fd9a7e0aa937fca	ok	
CheemsaDoge/tcs-cosheaf	main	3110	684	15	18	302	335	123024	2686	35fd652ee14208cb94810173e4bb225cfbd6f8696d367d1ec0d790b38496ce3c	ok	
Trusty-Squire/castellan	master	3117	447	2	1	1	4	1954	723	d7c0c233f9694a28a54274fff4feecdc2b446dadfce6d4570191fc419184e35e	ok	
davidemiceli/puro-agent-harness	main	3158	135	1	4	5	10	1413	252	c9ecd6c3417dcdd7fb916f7ec3e203bc61f2ebb95228e68493258d8d3f3922cf	ok	
sehoon787/my-claude	main	3172	64	1	10	151	162	34596	1481	b2d9d69372218c3159f0ec35e2d6f1e3507cefb385ced26166313561d78ded26	ok	
