source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
selfradiance/rollback-receipt	main	29	23	1	1	0	2	46	23	ff5f6a541d1e4601c7287773e19e25b6a8f203ca1e64050846b165d7a1457ef4	ok	
BitmapAsset/mythos-harness	main	30	12	1	0	0	1	12	12	62af8dd3ff8e25a4891031b7f2ece7cb21a0e3341b8d1d971b14d691900a7348	ok	
selfradiance/contextgate	main	30	21	1	2	0	3	58	29	044076004afc0416eba18d48f5bb2846cd534d2b09b543d4dc454b2a860c7602	ok	
selfradiance/work-session-ledger	main	31	26	1	1	0	2	52	26	4c22f8c64b8be72fe28e6158a8a150af60152c5f554f8371aa4c285683955a32	ok	
PoLP0ot/hermes-claude-harness	main	32	48	1	0	0	1	48	48	ff162e0c6335af06d902bbbf8e16173ccce8a75ce35a90a29fe473cc2ebb47e0	ok	
zjukop/deepseek-harness	main	34	41	1	0	0	1	41	41	d9ac22417e3f01677ff8af801181602847b980005340ca356f937253ef490856	ok	
LearnPrompt/cc-harness-skills	main	34	43	1	2	0	3	128	45	e55652693d1b5943b0b2bb2767b45664b4550760c51c9612c541da3d0af417cb	ok	
MRGRD56/pi-omp-skills-autocomplete	master	35	7	1	0	0	1	7	7	6ed9736543d76ec4467c7f1f2713e37710b3ca869027b5a0aa85cb8812b91c41	ok	
unified-methods-division/vigil	main	36	27	1	0	0	1	27	27	76b116cb2214e2fe4f57f7ba479ab3eea76ee71576f89fa7a539a633876850c7	ok	
CaesiumY/harness-optimizer	main	38	11	1	0	0	1	11	11	b5baa929320c471229c1359e151b6f9c3a6003c7d04b89e9b4a7828cbbc5e546	ok	
selfradiance/reapproval-gate	main	39	27	1	1	0	2	54	27	d760920361bab195ae20d0758f8175c3c7c777e43e25251e291cd43f0c84f5fb	ok	
tahasiddiquii/ai-harness	main	47	48	1	0	0	1	48	48	c3bc5b42778d35f605ea76275aa061c3699e5e30fa5ab1dba0235d1316278dd3	ok	
contextosai/skills	main	49	24	2	0	6	8	194	37	848eaeeee0c966b1e5ebe34a34a07d6aab5df8fcdd02c4a9bf0aa95c3b6de10b	ok	
ink-charon/codepilot_lite	main	51	41	6	0	5	11	359	57	d4792cbba71bbfe1ce38c3247c5f97577dfd1dcb5c4fa1c0fc3b7be3bb461665	ok	
to-real/awesome-agent-harness	master	53	8	1	1	0	2	16	8	e565a41e4f3ddd70baf26a48a21ba6a68d97802459a5886a54d70102b1a214a6	ok	
OpenMind7/definitive-agent-harness-guide	main	54	17	1	0	0	1	17	17	151424644be5fdc32f88615dfa07ac5846b2b33260fcfe52056a369fdcf230eb	ok	
JoaoEquer/Oficina	main	55	23	1	0	0	1	23	23	33b8335146ccb243c5d220d86c1b00b28cf27d41b9e2db577b3e4c32e2de6b04	ok	
SebastianBoehler/degov-agent-harness	master	55	38	1	0	0	1	38	36	79bb1d608bc5e70616f9f3bab7bed0d13ac9613d0ad02c50e711c25192ca7922	ok	
m83iyer/upbringing	main	56	29	1	0	0	1	29	29	abc19ad53be59580626e46802acc394951e89998e1133bd705daae5cb1e2479f	ok	
VibeCodingNights/agent-harnesses	main	57	26	1	0	0	1	26	26	e4ae41e6ec66e0bec3472d96f1c5c33b5b42a493b5ff49d54d71d8807fec0dc4	ok	
roverdude24/agentic-visual-grounding-rubric	main	58	25	1	0	0	1	25	25	d52fc7b52ca7977f0d278c7ef84bc9cdf86be627545715cf22fd20be4a13ca5c	ok	
yuecao365/agent-codebase-analysis-skill	main	59	14	1	0	0	1	14	14	171b70ad0690e4e2a91929e24556068b60c80779c02d1b5b8cb1c96f2ec4a5d4	ok	
lian-tian-mo-zun/minimal-stable-python-agent	main	62	18	1	0	0	1	18	18	8f292f481279a54ae8f4a3de7e2ed479cd474002579534086f0e76aa1b1861c2	ok	
nqtiendat/harness-agent-framework	main	63	87	2	0	1	3	261	87	d84d1886e7331754de505e9468613aaa088473d531fe8a2833eade6950433e22	ok	
GeniusTechnoMystic/agentic-swe-grounding-system	main	70	161	2	0	1	3	483	161	7042a60bb51d69a950457b878463ef0954acede8f73b251c973d722c911e26f4	ok	
sriv2804/agentflow	main	71	41	1	0	0	1	41	39	30d1d24ccdc8ad84a1abff2c59be11fa1bb946f065391b5cc64854a3c1a36aa0	ok	
brandoncarneiro/harness-lab	main	71	45	1	0	3	4	207	59	815da7de69a63184be715334d1eda7ff721413203b2ff75a0b9b213c2a4b18bb	ok	
thomas0124/ralph	main	78	88	1	3	0	4	352	86	c2cfabee14f6fedd20217e5351ff698a3425b198d44a00835ddcbe3a454504a2	ok	
lastmindforever36/agent-grounded-infrastructure	main	79	49	1	0	0	1	49	49	83433fad7a90d9017baada04ffe64fc594120cb83272cfab988dd41e60077f9e	ok	
hhamja/loopkit	main	82	63	1	0	0	1	63	43	856c7dddcf2b1634f0e49d58c22ff3f4d28f5a869b1749585d1130dd49e5662a	ok	
alexsds/ade-workflow	main	83	32	1	0	0	1	32	32	27b4d91d237f92401ea898dac8d10c7f839902581b91879fd452ccc522249a5c	ok	
uppifyagency/loop-kernel	main	83	44	1	0	0	1	44	40	ac6105081619a26f891f0f4dbde6c52f4374cbfbfc411c901ad1043dd3d9d0f4	ok	
LeHungViet/scroll	main	90	33	1	0	0	1	33	33	1118f031f5e76e7bc7f03106bdd88710e56ca9ebb9816cbb0f9e98947748cf3f	ok	
leezythu/agent-harness-compare	main	91	14	1	0	0	1	14	14	09025e276e7683697e99887d6762a6efd8026a6b4630e27c645a3ed419fc6613	ok	
lumatic2/askewly-harness	master	93	35	1	0	0	1	35	35	d0a31c63d9665531e17f2a2c405e88370b8fd9355ade1a66bbf5fd041b2eb9ac	ok	
mike-diff/agent-harness-overview	main	95	50	1	0	0	1	50	50	85ab1477619e1853e1c5cc90c4196517334e86bb8891632a58d81c8e3e275ff6	ok	
hjnnjh/agent-learning	main	98	36	1	0	0	1	36	33	aa64dfb5a5fc2ecd4b9ceedadf7971f425eb6d6b82de685fa56c9dd1d8ee2967	ok	
jeanlag1/vibeharness	main	99	40	1	0	0	1	40	40	3f305c2de381b64a72a0ae2e274573e7e74c4aa5d26701c6e33fc1dc761a36b7	ok	
frankxai/agentic-business-os	main	99	77	2	3	2	7	523	98	42a94677cc68da95e1f86d3ad15d4cf02419f37636a6acea419edf7c4dfae802	ok	
greg-asher/oh-my-lawd	main	99	37	1	0	6	7	206	69	27ad2f1098bff5570d574a902c075503eed1eba14bedcc9a9d2ed2dfa21335c7	ok	
SunChJ/learn-agent-harness	main	102	34	2	0	2	4	126	34	22fe39fb045bc015657dce9992433e1c3ab8aadf60f98495adb7f0dd71b7d4b4	ok	
veithly/build-your-own-agent	main	103	47	1	0	0	1	47	47	6171444d0694bcbfa6fbfe7c34dac6cee7ef803bef7dcaadaf4bb566008b68a6	ok	
MadKangYu/document-harness-meetup	main	104	18	1	0	1	2	44	22	05e4ec1e642a96860c9ebc18e62d75d7243919006152a043c77538695cf1992b	ok	
vitaliikapliuk/modelharness	main	105	193	1	1	0	2	386	174	4249bf5be8d994a2e34547c81b975fdad028b0263a467a773c10615bddef49e6	ok	
dangeranger/conductor	main	113	82	1	0	0	1	82	82	416dcab60e03422d15a1f2a4329fbf496222d54a6967020fc5eed2e6a13676d1	ok	
minzique/pi-team	main	114	35	2	0	5	7	227	50	d393e0dc2d98a82047d1e98c19086d241164c19f8ec78b350b2143d24c494261	ok	
zyziyun/claude-code-mini	main	115	46	2	0	0	2	92	51	ae2bae0e567cdd241e382eb0800909ad7fb5f2479899dca6890d91ebd35f150d	ok	
migos1990/ai-eng-team-harness	main	117	44	1	0	0	1	44	44	d476a82203415fb33843e216328767d64169713f02aa82089ae927b5a1a89ba2	ok	
Magma1321/mythos-agent-pipe	main	119	6	1	0	0	1	6	6	4460b79caeacbd86a50a49f7dcb13d3d4ebda0f59c4f1bc110d79bc23795504a	ok	
HaaaappyDay/what-is-harness	main	120	37	1	0	0	1	37	37	27ff38fb9c3f75f9fef861d55c86d0a9bc66bddab7d94e3e6278f797584609ab	ok	
