source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
epuerta9/vent	main	5146	35	1	0	0	1	35	35	73adacf42035356c6d2637ac36a9a9d955dd53bc21017d995c8de36008dbd68a	ok	
aray-17/code-capsules	main	5294	210	2	1	2	5	1449	501	1c4652d2e1228762529d038ed8e6fb19c057833408bf6dc045f4c471b2376a3a	ok	
0xenzyme/agent-harness	main	5308	150	2	1	0	3	398	221	cce1c427197780bdadc9c828b24e1955f6e470245d4e4c872efe1758a6db19b0	ok	
AnayDhawan/oss-launch	main	5479	85	1	1	1	3	191	86	50d57b58204aad08b9cc73c26b28d247e1ea5b15aad5a0cee8d8a586bd9cc148	ok	
HexamindOrganisation/hexgate	main	5543	492	69	9	74	152	52610	1772	f2062aa5bb9b15562913b4e8088368a5c9b1fb98d7d4652a5c397530aa6cec04	ok	
memtomem/memtomem-stm	main	5604	296	7	33	483	523	108612	2086	a9d18a2435385df0d2354c1c4546538886fae7a2b244ed06d70021b94a708d47	ok	
DancingCircles/billing-ops-copilot	main	5698	80	1	0	0	1	80	78	91fceda15b42df9671df520a48d9c4b393d6eb7a77f504e661b257f460a4e05a	ok	
UnicomAI/UniHarness	main	5749	307	11	0	30	41	14175	1122	c79b654d406cbc4c46d1c2ba8481770b91b12b514a99ef243afcf627d9f4668a	ok	
bitrouter/bitrouter	main	6051	506	63	67	489	622	177805	4592	1f0c1840fe45ff0a809c19054d875faa404bc93d50b3e0a43cefee3ec55ecca1	ok	
asa-degroff/Porrima	main	6116	396	2	7	4	13	5063	529	941e50c3be0ddc966f0cee44909043c4ed4bfafa972b8d3355cddf6bbf19f526	ok	
