source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
Chorus-AIDLC/Chorus	main	118366	1559	46	32	372	454	367184	4728	6350c669e90c82e4b22dad4f9defdf6ba7aa65e0cb6d28a74563ea80de5d479f	ok	
guilingzhouyi-creator/NOMOS	main	118987	15274	1	0	0	1	15274	14539	4c27300e809462d598aee831ab0ded5e6ced9434a55a1b0ca5a3445ad7fb21c7	ok	
tomcounsell/ai	main	127341	2112	327	0	829	1156	1417418	13740	6be7bb86e2ff78f1d893b22793fad31f7f73f967ec558fc39e9ff4f0314067f2	ok	
ferterahadi/canary-lab	main	139531	654	6	6	33	45	19589	2352	5a8cf00f731b16de46f72168d5c07196a32b1a1285ee467e111594b81d39a8cc	ok	
monoes/monomind	main	148071	6425	6	84	7	97	435957	14953	fa385bae82639be427db228cceabb1e4e213157835962147440d6d365912f900	ok	
smithg09/arcgentic	main	161098	295	3	0	3	6	1682	338	6b89492dc1269edba88fbbf97e6145472ad85014bee8f23bed08a8c9f08c7a52	ok	
desplega-ai/agent-swarm	main	163776	2563	764	133	882	1778	2699507	12640	6ed1d7638037c25c53caf99f4d1f5c5e3961e30250bf4d4c95c3e4c2f5a63664	ok	
agentic-in/inferoa	main	245927	295	1	24	6	31	8005	1028	186663b7debb81a0ca0673aead1ae6ec310f89ec36050e67c48ae80dfc6ca2b2	ok	
limecloud/lime	main	246866	7686	1	99	43	143	560012	34358	46d117f50d7d3f1d603912bb338c03ca1ac9476db362cbdb27cba266ba771cc9	ok	
Ruafieldphase/trinity-agi	main	608417	1791	1	1	0	2	3601	1798	7e27788ee7795988cf3ea51def02165f51f4d4354562219bb7c10519a595f638	ok	
