source	default_branch	head_count	tag_count	pr_ref_count	head_tag_sha256	pr_refs_sha256	readme_status	readme_sha256
pavel-voronin/tgdyk	main	1	5	0	4753f36dd3fbdee91848319b5560a7b38fb19445cd9074f827fb54ccbed4a31f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	89db022915f4b6b51179e81fc16862c2e0dbcddefafcd0d69d13d8ccdd365b2e
saorsa-labs/fluers	main	1	9	7	6802b5194ddbe04913c3942a977ceb0876b2a2700af7b4c6b16af5acf767be34	abf4b8189f536e9b837cad7f9fdc081e40783c6b5b039f8332466391416e563a	README.md	0e38b656307424c3a2078af676af94f536b382d87f906427362fac4ff97439f5
lk19940215/claude-coder	main	1	0	1	1ab9ee691550d69a24f0a6f7a7facd5819926b3f05b9073460e55473c8e402b9	82f2a8e158be7420c040e83db4dac44faeaa9f71cfd6c6f8ce17935eddbbbeec	README.md	8a46d82c08bd65fac6184274e427821a11005b84e1ef23f7fc297c1eb7fc2016
qwerfunch/harness-boot	main	10	105	82	d90dd31c79014270df4c40b59d8fa6b9b9cb05db3ba8541fe995140da1fbd938	b0b0a5f05016e92a0faff1637b3748e53f3a22371789d96e4837e503ed164092	README.md	d24d0d57a2e1e6d19bc067dfbaf633d3e208b7b7e2e67443f1eafff54c384387
MonyetBatu/practice-theory-implementation	main	1	2	0	5802e2eaa8df5bbd114a9dc308ebde58fea61bf153963e01921e98f90b7006d7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	4d8dcff103f1f72fa6bfd21d4f32c49e36bddb450408976f00db8767a21f63bb
Abbasi-Alain/atlas	main	17	16	22	83a70d37595d9c763498ec4d7a2e877f1c70fea53773c9456187abbd48b25413	3026c29adafa21df501f4d2230e6126cab8c0e5e6bef37ad0497a18cb4a295bd	README.md	4cef36bd249b3a17b4c7049807c192b1003107e41598e7c9a98a50710861635b
hannsxpeter/mythify	main	1	77	13	7f9a4946929282294762e3306956df073cebd143243e28a73aa375116e312c4b	74d8c369f3c70536435a231e5ec5f44af7b931fb7f4e15975be867e452f78f35	README.md	ee6c36aa784564636d63cae03788836e0a1ca499e53dcd463a9022a6057f5fd9
IgorGanapolsky/mac-yolo-safeguards	main	6	7	49	8bf35179a67dd493c6ce5a58b552902296320b429fc6341c0992fa5de399f6d4	f18e88c56746108ab030d9a97b6d98c81b8bd136e82ed6670a92a6a099150527	README.md	532ec8094ff357cb4e9344236c02aec2f3514e8adf3a85f8ae8862a018347074
fastbeast2023-netizen/awesome-harness-engineering	main	1	0	0	6231b837bcb029a6fcadf50489035a8432ca665bc377dcac6d488a983d6ec1c4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	687b2f4914e7618714af9487a398d1cb5f61c9e22f05a064020b1078a240a40a
zhuzhiguang927-spec/investor-harness-oss	main	1	2	0	a515d37c7c6bbb53fd0633e6f31578c0a799d46e0a6e0302874c03fc782d81c7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	1ad5002f65dce12520ac63b74e5b2f601c35af28e57c33e2f91e41c767c83244
Siddhant-Goswami/Crucible	main	1	0	12	39de7741ac47392885d33703a69eb2d849b13853122b0242e44f6c3db13bf211	b0f8550d55b547224a023b66f687e3a79c5f80bccf870f996ea1a3c17c85cd60	README.md	a65e18486a9db892cae101beb3cadc1a5150d807f9ebcb455128b2f80d453d14
Edge-Explorer/Kaggle-SAE	main	1	0	0	631a2d4b3b11cf768196b371cedd5a25adcd4fd5d389884db58350ab3eec1cff	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	15b5b52a81f70bacd434d80a59684c6cc6fa0dfdba26dd7eb20753ebe7d87334
tabbypyrotechnic519/claw-code-parity	main	1	0	0	04988db13fe2133ff604205eb93d29e4033da5559c9c58249202f9c6b5c75ddb	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	1429aa425ad75066c6478227b6316ccf9ab0f22d67ce6f95d230d98f43452051
rapoii/vex	master	1	1	0	fe54653fed5d5c4875b41dfdcfb8a39fed6e8746f513936ee4afc47ee77cc01a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	7a3998d3ab3840a081d1668ec4563a5c9d04056a4b52f4e6796f10488a34f333
desty/isms-p-assist	main	1	0	0	b0b38bc7d1a48ef0311db76cbf26bf1471a63b60e65e7feefa6e0bf88b4030b5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	0cde19c1f55b12cae0d829879140d2690f41aa3375ad6c8c52eeee286b4e896f
WhiteNoiseK/agent-harness-starter	main	1	0	0	c2a75d3dfcc14d0ee871a349fca815131ed356fc60b3fd1d40875ce3c30c1a86	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	aaaabd58579924589a78e4565ab771d3d576c216e594e8ea48aa4ad71abfde52
zjukop/deepseek-harness	main	1	0	0	381a2b362410ccb9fe7102d6112c36776b38865f30f1bac05fe6fd85e9eb92a9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	09b44da168ddc108618287b54dc5066d375c68b167a15ab2e357331af3b3a7f9
sriv2804/agentflow	main	1	0	0	c296c0d7b04d69126292461f9d8861fdeb03ef287b551723e7426ec6024dd4a7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	51ab37ba920d63655c424563633192f23ee83634331f2ff78b7f56dd82b37105
tahasiddiquii/ai-harness	main	1	0	0	8af02e037508b564510d5ee62ae201e14fef90a447c83383f8d430408ca30662	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	README.md	2381401cd58b054b4502c644609481fe0a0d3efc59bb313ba2ba4c0996019a0d
