source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
m24927605/ait	main	6771	655	4	148	3	155	33818	2451	bff9e0aa0ea8855659ab7a01da9d7dba02a2a1473bfd580fae4f36aa8356bab2	ok	
majiayu000/vibeguard	main	6854	748	93	9	344	446	252332	4615	4f54e0e5c1632a76256b7bc66b1849f1189fbcbb2693ed98c2e797eb1b8b355c	ok	
zkhorozianbc/reps	main	6861	1018	6	1	3	10	9871	1003	8dc4249895b61465f90af3f47ca68a1752a378f4cb19498e3cffd675625e61c4	ok	
qwerfunch/harness-boot	main	6906	668	10	105	82	197	60390	2385	6447f7a757adc7f50a081fb0f22afaeb741de4ffdd9ada49a261b4dea20f8f73	ok	
tenurehq/GroundEval	main	6921	54	3	1	9	13	1222	276	3e70961441767501fca595ba43f6a8724b2a1523a7c5f7b8c67507e5cfe635da	ok	
smartcomputer-ai/lightspeed	main	7165	516	4	0	24	28	11069	2197	05011f43651bc2a77a073a254388cb42555788685dc6ba28cac193aa4a0c3d55	ok	
joctaTorres/ratchet	main	7351	1304	12	0	47	57	44403	1695	85025a94121fb9fcc311ce2aa8a6aef75421e5e8da4538225a34f742e9f16b3b	ok	
michael-chow-arch/goldfxgraph	main	7455	111	1	0	10	11	2026	408	6fb775f37fcfd24881497c0499fe358a1d2ca9c63c57e94df46e9a1fca067066	ok	
hushctl/hush	main	7941	115	14	23	32	69	7212	414	a5327940ef7e8ce5aedaca5992ce7dee38e229635c30cf1bc05abeb49801094b	ok	
WanLanglin/-awesome-cc-harness	main	7946	80	1	0	0	1	80	43	2a7c211599cc067215ac80d2f45266ca7d099c5df300a775a9730538305065c7	ok	
