source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
VibeCodingNights/portable-harnesses	main	120	51	1	0	0	1	51	49	8822fd715fa89e1811f7c9f9f0feb5da1cd8cdc9a2797c439605c1e7822f4b5d	ok	
OctavianTocan/openclaw-claude-max-agent-sdk-harness	main	121	27	1	8	1	10	251	80	7a911c7fa4c68d1ffd5b893f81e6000ecf19010593f429af2054508b9448ab7d	ok	
ATaylorAerospace/Deterministic-Agent-Harness	main	132	18	1	0	5	6	97	20	834a62e628cc15aaec83a64e312238db7afc4b19b3eeb352f955664bb0ce8b07	ok	
kakineko/idea-search	main	138	81	1	0	0	1	81	79	99b70a08e8903d43f725225c5c90f2c6dcbc955c612dcb4b8700e2bc727cbcbd	ok	
logiccrafterdz/SAHA	master	141	89	1	0	0	1	89	89	3b2d6b64c615ab14745b8740d9223313d781ac9d045d28cb29e1ef4379a1a063	ok	
MarcusViniciusBarcelos/spec-agent	main	142	86	1	0	0	1	86	81	22e042abe6a35a40c5a6f4a913a6cd44b19e1f84e85c20d75ac2b9059f2ea475	ok	
NeoCh3n/HiveForge	main	145	54	1	0	0	1	54	54	f13b7e21abea55ac4446de36639870151b8be03bea46f9ceb21022e3b3f74101	ok	
yfge/agent-harness-skills	main	147	72	1	0	0	1	72	72	5bcfbb2a7f9197d3ab5b6ae22a477e9c506d675624b38ce0609c355b86d159fe	ok	
bowen31337/claw-forge-plugin	main	153	70	1	0	0	1	70	70	1566e36c32b3d85eea01d2b8c1125c8130a45798b3b43a76e6502a8fcbcd83b8	ok	
baksohyeon/mogui-agent-harness	main	159	98	1	0	3	4	390	101	d41e85d1f1d5d8be7f65a0dffb40a696d227839f16a1765f311e931b772fddb3	ok	
noopolis/daimon	main	160	47	1	2	0	3	115	58	a684169c86f63a043af82919f1094b065e16affb7dae0c01176715ca1244f8b3	ok	
youxufkhan/my-opencode-config	master	160	47	8	3	14	25	997	110	eda4fa4275f4f7ac1f1b81753fe12f916df0ed8f2a4b696386c81474dba3d8cf	ok	
clark-labs-inc/clark-agent	main	171	35	1	1	0	2	70	35	62b73568e3fcaab7541aeb5a0863ebcc4249f880698b448fa5958d76cc33a19e	ok	
samiralibabic/open-ended-agent	main	171	32	1	1	0	2	57	55	c622c2f50dae3b6a4fb40b19925239ac2dc57171bfc5cf71c391b1927cee212a	ok	
cpplain/lorah	main	173	37	1	7	20	28	1005	220	c1840afdf9519b6b834a04bd08a0aaaa4c5e59b03b40141f8340df96834fe331	ok	
