source	default_branch	tree_status	file_count	tree_sha256
MatthewZMD/agent-digivolve-harness-loop	main	ok	43	ecfebc7fbb8f0fdf4722db08fa00c41a8162fcd6d6c55be8841a79d66ce29119
majiayu000/vibeguard	main	ok	748	5b71beda9ea54bdeb97be24dd75297ab6dde3dfbff210101e1f91c0436061170
Rockielab/rockie-claude	main	ok	497	98cc4bd6e9a49afcc704f7167eab5e3b79c30f2175d71b2fba4478f2d624f13b
sehoon787/my-codex	main	ok	79	82d5f4f7e1696196fe1c18f54976fa2d85a59b79b76992b1157dc6ab0795dfe0
joyehuang/Learn-Open-Harness	main	ok	99	bfc2c8528089b768d6d435fa7e148ba2dbf0895f6c6cbe5221310d8fd597481b
cosmtrek/jeju	master	ok	327	0d38de93bb7a0b11475232b9ca361c2e506da23031e52a22258c643558fc1c29
HaseebKhalid1507/SynapsCLI	main	ok	415	61f688414b6bc07516f91b08d35c78d3a354ba30729e8087d1cb2315f88dd515
WhitzardAgent/qitos	main	ok	1052	b4809ce13e76c9f2dfd453a75cf58db1d9f45676b5e4d7b8ad6affacbfe67d80
leodido/structcli	main	ok	194	fa7cdf62eec2a56637c11a3f5997d02032476f205fee5968e362e61bfd8922e3
kiaquila/unicorn-hub	main	ok	126	8e782d853887e08b27d1d21d37567b2330fa0fb67b71c7d437e416eb3cec55db
lukas-grigis/ralphctl	main	ok	1505	c717b405c77ff2a2230e3bfc9f62ec780f537fdce3eb454f250b6235674f30c5
MeherBhaskar/agent-rigor	main	ok	48	829e622553ee424ee4359f44c698c768467b070b1aa5d71ab063c82a0bb417f5
zxpmail/ReqForge	main	ok	1931	c982d09c57ab249a0c11efef3c79106c1f767c7c531cdceaeb4b5828ebc35118
BicaMindLabs/FuguNano	main	ok	473	71e6c9ed02ecc7015536e1433f01c6d223301417addfc73da9ccac550db233bc
core0-io/nio	main	ok	313	08d4a057df588f42d9e25eedfc335770504d5e8114c81573a9cdd7e8c1107d31
knewstimek/gorchera	master	ok	79	c15969cb28c43111aed676a75b63c1cf5de0e88eff46780d8ce3e8aa302eb2d3
microsoft/Build26-BRK243-claw-and-agent-harness-in-microsoft-foundry	main	ok	176	61ef982d4651b07a394add1e9de8416361c547563c8eff0ff15f42e20e2b8a56
listener-He/java-harness-agent	claude-code	ok	178	7938cf293b03efa756b08c00c3e15c821fe513a83056a5368f2c457a0cef8ab1
jity16/MiNerva	main	ok	336	f09fe7dc6a056b937b2cd7585992805bc3e2c95486b5250249b79ddbef29946a
Ranvier-Technologies/pixir	main	ok	374	359391b5fa6152b5f75eb909d9c09b0e1c1a3a47810814604593f2e04d153689
zosmaai/dhara	main	ok	258	e82dba5d797da372c25008d9c0aadc23a48aa4df0b32385ca94076969f57285b
asa-degroff/Porrima	main	ok	396	5af78b7f87c5165739d31b5ab76a0022d68a50c936ea643da418b716daeb8a29
Open-Harness/open-harness	master	ok	278	9a4b83f1b58cc834f36dbd7b99a3429b2d2f27cca742856d2805a7a410abde36
sehoon787/my-claude	main	ok	69	243fce861f9d6d04d0d3baf74715f02df9dea372ef55ef886701a4c8b1e7c817
Dominien/hubspot-sales-agent	main	ok	90	89f56e7b486978e867b8c6baa0233983ac54af98f35de7cf7ce8d7512afa949f
