source	default_branch	stars	license	readme_status	word_count	line_count	families	evidence_terms
AmazingPeach/agent-startup-map	main	0	MIT	ok	471	90	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,feedback_session_intake,agent_ssot_projection,harness_taxonomy_curation	list|Codex|sandbox|coordination|Long-running|event|skill|api|task|workflow|check|AGENTS.md|harness engineering
graphrefly/graphrefly-py	main	0	MIT	ok	845	217	runtime_capability_matrix,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	runtime|status|Message|loop|Event|Context|policy|API|task|state|package|check|project
MadKangYu/document-harness-meetup	main	0	MIT	ok	118	46	session_command_center,change_package_delta_archive,extension_preset_bundle_registry	preview|archive|install
davidemiceli/puro-agent-harness	main	0	AGPL-3.0	ok	965	98	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	Model|environment|status|message|loop|benchmark|history|prompt|MCP|task|State|Extension|ci|project
DDS-Solutions/Autonomous-Agentic-Tadpole	main	0	NOASSERTION	ok	2903	448	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	catalog|runtime|Sandbox|dashboard|heartbeat|Autonomous|benchmark|Telemetry|Knowledge|guard|Search|plan|manifest|ci|Template|fixture
Daffiburrlike452/agent-harness-generator	main	0	MIT	ok	900	95	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	list|claude|Sandbox|terminal|loop|event|learn|safe|tool|spec|package|ci|template
motivated-groupthink347/boss-skill	main	0	MIT	ok	1200	196	runtime_capability_matrix,session_command_center,mailbox_conflict_locks,verifier_council,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,harness_taxonomy_curation	claude|status|message|judge|skill|permission|tool|task|install|check|Project|topic
lelik1813/claw-code-java	main	0	MIT	ok	851	223	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,harness_taxonomy_curation	Claude|Docker|terminal|message|loop|observability|skill|permission|tool|spec|workflow|package|CI|project|Query
ATaylorAerospace/Deterministic-Agent-Harness	main	0	MIT	ok	1762	302	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,observability_provenance,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	list|Runtime|environment|Status|lock|Event|Security|API|requirement|workflow|Install|CI|rules
aaravriyer193/Agtx-code	main	0	NOASSERTION	ok	505	99	runtime_capability_matrix,session_command_center,autonomous_loop_receipts,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection	model|terminal|loop|prompt|safe|API|spec|Install|ci|project
aray-17/code-capsules	main	0	Apache-2.0	ok	874	164	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,verifier_council,observability_provenance,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	catalog|runtime|Docker|session|verifier|cost|policy|tool|plan|state|install|ci|project|score
logiccrafterdz/SAHA	master	0	MIT	ok	2056	551	agent_catalog_watch,runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,security_credential_egress,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,extension_preset_bundle_registry,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation,harness_taxonomy_curation	list|provider|Docker|Monitor|message|loop|grading|Observability|prompt|credential|API|Spec|workflow|Install|ci|AGENTS.md|Eval|topic
NeoCh3n/HiveForge	main	0	NOASSERTION	ok	865	189	runtime_capability_matrix,isolated_sandbox_runner,session_command_center,mailbox_conflict_locks,autonomous_loop_receipts,verifier_council,observability_provenance,skill_memory_hygiene,tool_augmentation,change_package_delta_archive,state_machine_tool_policy,feedback_session_intake,agent_ssot_projection,skill_efficacy_evaluation	adapter|isolate|dashboard|shared|loop|Evaluate|observability|memory|tool|task|workflow|ci|Project|Eval
