source	default_branch	head_count	tag_count	pr_ref_count	default_commit	main_file_count	heads_sha256	tags_sha256	pr_refs_sha256	main_files_sha256
AgentWrapper/agent-orchestrator	main	684	225	1628	863853e3ac8bbe04f215385da1f6cb4a3aa76477	932	4c713e2489a5ab5dec367b633c2957c947a7857576793222ed562c2cd239398a	fcb7429fd5696e65ea39e648b067c1adecf8bd9abeb22f3293dd8cedffef4dc7	e5d4a06b304221774a8bd28c712301af5ec823644d6ff25f57cba91075ceb1d9	1976476e14e30ef31e09273df73a03ad914b120e5683b8eae30f5ead0388c22f
first-fluke/oh-my-agent	main	7	492	566	220f79fc3a2a3c6da4b351c0dfa1f974f6972896	2530	5d922d15b551703255e19ee1582de7fd02a34dbbb5ad57811786f041c09bd8fb	49388a31dfb8d8842d2e1c53015a40548a53952997fe47320931f264e992ad69	af002d074656cdc3f7e0a39946d425f129d05bfee7139eb7efb7868749a48a97	e6b57c4430c89b4d8d74005592e1cbab01d7336d0b4def2e252ae90259502cba
code-yeongyu/oh-my-openagent	dev	129	231	4000	fb811a5ce2f2342bcc4ed44940d4db6135b5b1d3	6814	4eb5c31a573aad52cf38839a6213fda1b552758cf60bb0ddbaa520bcf219a009	d1b97ae7afa5dff782499100d235c97f0eef6519ee01e5d99f2f2fe3e3f2ac1c	86112e4c019d3e07048cb117c24efce33c6dd273f603f5b5d36ae37eecf45b59	24b9752c277169a7c301fcedf4978795d543e113e7fc030814dab307d5442e5a
ai-boost/awesome-harness-engineering	main	4	0	188	149fe19fa278045ea914686bfd520e1911ba631f	12	bc4a1078ad1250d353abd5808c18e1bea46f9560a9e2002769ab2824c4a83308	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	06d832b9bdcadcbf508f73ae4ade6c0f0c9ac4af2645e295c1b4b90d78dbeddb	4145f4478897379a005e100b73eea28a61289d230d757158d382b8e17a327c06
Picrew/awesome-agent-harness	main	1	0	50	85d6410079854334e50b2de8e8961b4ac09de1e7	53	a4a82ee0894b4fb948dc828168215c1fa8ad81dad985eb686dadb1b9efaa3cd4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	d570baa9cbd703e6d456b615591c70cec41ccecb967d639ea0640fa2ab4ae5fd	77cf773532a856578cf8c085747a24a055f7e601f08cee986693d4ffb2051754
AutoJunjie/awesome-agent-harness	main	3	0	40	1e3f26371ec1a765efe0268b1e63374bee2aaa04	22	0cd694ecea4fb8b50926dd69495126e0464aa95563abbede97d018b32d346859	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	075b37b3f92b685dc33e62ea59bfb6a4d10cb45abb5971222d35304efb344602	b53ff6d4e5da2803303363a8d6f4d0601e8f2acb1864e6dce048f6ece7ee1803
