source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
sd0xdev/sd0x-dev-flow	main	6158	689	2	112	2	116	42166	2394	a6d9db45463d2c6dbe2609bc783ab049e72816c492d00a281007f7143a2b85b6	ok	
ianphil/chamber	master	6185	716	33	98	234	365	170381	3957	c664712376f718011a9e07c228fa31b0513a9a2edd2bd181a5a21fc714364b9d	ok	
Picrew/LLM-Harness	main	6399	9	1	0	0	1	9	9	b8e04ef7f04d8779b9d3fae64bdb7ba476c4a0cf56bd5ec8c36362bfc75b360c	ok	
Zwc-11/Murmur-ai-harness	main	6423	241	4	2	15	21	3617	637	103306f914548a11e274fd460d75d8e4c7ececd33ab70282c0e1e4f8708eb25d	ok	
xiaonancs/openclaw-study	main	6489	80	1	0	0	1	80	80	7211bc7cac25d7a68a4e0d7fe8ad64328ad387638696768aade7ab6b17505f74	ok	
tabbypyrotechnic519/claw-code-parity	main	6535	239	1	0	0	1	239	221	98e979901f4257e37447d8eed465f49ddb0e1c057875d5809d6c96034111fb03	ok	
yoshpy-dev/ralph	main	6547	723	2	30	86	118	51736	1434	4ee6a4f28beb246b7824a6e9b71cbe3472c9e8504d86e50d75a772af0a189ba1	ok	
KoreanCode/orange-hyper	main	6592	127	1	44	11	56	4731	810	48f7a89948006901b235ef30a80e119476e3dc56b5807a10b37b93c04962c80f	ok	
emavague180/claw-code-parity	main	6595	248	1	0	0	1	248	230	6ada0240da08ddd727c2c1078f9e06f1ad7f7860b4a2bebcd16c4315c67ff70f	ok	
graphrefly/graphrefly	main	6763	171	2	0	2	4	360	189	b1005da00d98d7eac0b65841507efeaef2f9970f4cac12afef2f423cee4c19d2	ok	
