source	default_branch	size_kb	default_file_count	head_count	tag_count	pr_ref_count	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	status	failure
graphrefly/graphrefly-py	main	3370	130	3	21	1	25	6773	817	79f5551790afa7e4d2d6f2e38195689ac748f5721fd05e50ec157fe4fd8d884d	ok	
aelaguiz/rally	main	3382	240	21	5	56	82	17199	833	4d3f9246511b195c531375b069b84c55213b5b31feaeb93e858ee24f9f377624	ok	
XXY-CH/Aetherion	main	3552	410	3	1	2	6	2076	513	b6e0a718aa2d6e17b4e064a3306b3342533a2b68849fb8e6e83c1e5888e380b3	ok	
sehoon787/my-codex	main	3579	73	17	14	49	80	16273	1120	819ef40ac3aab26a88a688a4b2306e7e57bf7023ef86c4bcd98d72b03feadbf6	ok	
loveliiivelaugh/memoryme	main	3635	133	2	1	3	6	767	153	3bfffbc383700f1c6e12d766aa3b26c9e62fd504e885f998da9a7fc79e513868	ok	
deepfates/cantrip	main	3693	173	1	2	18	21	5276	1168	d21c2553065ed551d3b1d22387658d888a368855830e981ab11e583d6682c4ac	ok	
exon-research/genomi	master	3698	459	1	1	1	3	1272	726	e09105672146b901e4cf589b5c1a59904b34cd284e2d635fa11de7b594bb78ac	ok	
RyanAlberts/best-of-Agent-Harnesses	main	3873	70	26	3	51	80	4655	652	1bbd4e647c350ac388470e6baf1a60b31372098633f2fcab76f76c5d5eb4828d	ok	
shamspias/customizable-gpt-chatbot	main	3915	138	7	0	19	26	1805	400	7511dd4d8a23854b053c90455aeb27b71674396701d309e0400b5c9cb770534d	ok	
benlongmao/Self-becoming-zh	main	3987	418	1	4	0	5	1922	533	edb66990907cdc0bd6a3b9e7e7ee9966843803729a4e96370d6a3e4f742079ad	ok	
pko89403/A-RAG	main	4096	32	1	0	0	1	32	31	2a94cb47dfc99a87939fe90d9b8c9c969d5b800f311e4e36654d926ed43aa829	ok	
core0-io/nio	main	4139	313	4	25	8	37	8849	1351	41bb2e84fced049f2b76fcc1fdc03dc6ce8c16c2ba6526b32bfca21a53b2803b	ok	
jaredboynton/unifable	main	4159	682	1	55	0	56	26652	2081	019d1b2c614a326dbe533fadf262c3c8725217bf00303e0e887c2f4b9b81bddd	ok	
elizabethfuentes12/resilient-agent-harness-sample-for-aws	main	4272	42	1	0	0	1	42	37	9f6ecdcba0320ac403fda3d55b23f88a7b32aa70beb9167d86159da6b2116b13	ok	
verkyyi/tokenman	main	4294	36	85	6	96	187	14790	1270	ef2b9b80649d8183343549bdb5b1cee1104c0bd63160a4b261c415cfc82cf1d4	ok	
benlongmao/Self-becoming	main	4348	385	1	4	0	5	1811	468	073a06923d865025aced8e430bc20903c1d3e0d0d612620723b51b4716d4a8ee	ok	
yu-iskw/sqlfluff-complexity	main	4532	390	18	13	51	82	24816	831	6425bff96bc64d315f874323159a73be749275da738f1184fcc35fc7182d1533	ok	
RUCAIBox/awesome-agent-harness	main	4706	5	1	0	4	5	27	7	4b69ad908a7717be700ee694625a15c9bfde3d5f4ca7d31880922ba205df841c	ok	
lelik1813/claw-code-java	main	4764	416	1	1	0	2	832	416	7ad1662b7597e2e992987b1e3b8a4494747f036e396bee6c9a0080fe46798226	ok	
zhnt/loushang	main	4903	1364	3	0	182	185	213748	3347	ebef3971079fd7738fa4f648f3b4bee04385c51d3e964904c3dbffa8a1167933	ok	
ahwurm/localharness	main	5044	308	2	6	0	8	2342	409	a468abc6e6d05557a15f8dd53e29780121c90f9679f4a789bd118d660217019e	ok	
gongke-cxt/claw-code-main	main	5074	220	1	0	0	1	220	220	06b0ca393ccfdff60c0157221e55963ebdfef76fa7f10f022b2c3bfac7bc1c07	ok	
senweaver/SenHarness	main	5091	1297	1	1	0	2	2587	1306	3e715576dd4b6546b4c55f86de1f5c8473edceb574415370edebc5435c66ab11	ok	
RhythrosaLabs/claw-code-ui	main	5110	189	1	0	0	1	189	189	722462a5df57233b9852085fc168eb4d5174741fe553b8dbe26af1389768d8b8	ok	
peter-olom/manor	main	5136	333	23	0	27	50	11548	990	dfc1586a4e10e6d3bbcdb472498338311aa95edee42580ea972cbea36ad069a9	ok	
