CodeAgentSwarm	https://www.codeagentswarm.com
Codebuff	https://github.com/CodebuffAI/codebuff
Codel	https://github.com/semanser/codel
CodeMachine-CLI	https://github.com/moazbuilds/CodeMachine-CLI
CodeNomad	https://github.com/NeuralNomadsAI/CodeNomad
CoderPlan	https://coderplan.ai/
Codex CLI	https://github.com/openai/codex
Codex Infinity	https://github.com/lee101/codex-infinity
codex-profiles	https://github.com/Ducksss/codex-profiles
CodexMonitor	https://github.com/Dimillian/CodexMonitor
Cognitropy Lab	https://github.com/DaxxSec/cognitropy-lab
collaborator	https://github.com/collaborator-ai/collab-public
Command Code	https://github.com/CommandCodeAI/command-code
Commander	https://thecommander.app
company-skill	https://github.com/jagmarques/company-skill
CompanyHelm	https://github.com/CompanyHelm/companyhelm
constellagent	https://github.com/owengretzinger/constellagent
Context Kit	https://github.com/JDDavenport/context-kit
ContextZip	https://github.com/jee599/contextzip
Continue CLI	https://github.com/continuedev/continue
CoPaw	https://github.com/agentscope-ai/CoPaw
corellis	https://github.com/CorellisOrg/corellis
Coro Code	https://github.com/Blushyes/coro-code
Cortex Code CLI	https://www.snowflake.com/en/product/cortex-code/
Cosmosmith	https://github.com/devnomad-byte/cosmosmith
cowork-to-code-bridge	https://github.com/abhinaykrupa/cowork-to-code-bridge
Crab Code	https://github.com/crabforge/crab-code
Crab Code	https://github.com/lingcoder/crab-code
Crush	https://github.com/charmbracelet/crush
Crystal	https://github.com/stravu/crystal
Cursor AI Automated Team	https://github.com/joinwell52-AI/joinwell52
Cursor CLI	https://cursor.com/cli
cursor-agent	https://github.com/civai-technologies/cursor-agent
CyMetica AI / EventTrader	https://cymetica.com?utm_source=github&utm_medium=pr&utm_campaign=ai-native-outreach
Cynative	https://github.com/cynative/cynative
Dakera	https://github.com/dakera-ai/dakera-mcp
Darce	https://github.com/AmerSarhan/darce-cli
defract	https://defract.dev
denchclaw	https://github.com/DenchHQ/denchclaw
Devin	https://devin.ai
Devon	https://github.com/entropy-research/Devon
Dex	https://github.com/francescoalemanno/dex
Dexto	https://github.com/truffle-ai/dexto
dmux	https://github.com/standardagents/dmux
doforu	https://github.com/yctech2026/Doforu-APP
dorothy	https://github.com/Charlie85270/Dorothy
driftless	https://github.com/mizan0515/driftless
Droid	https://github.com/Factory-AI/factory
DvalinCode	https://github.com/arthurpanhku/dvalincode
EchoCoding	https://github.com/launsion-boop/EchoCoding
Emdash	https://github.com/generalaction/emdash
Every Code	https://github.com/just-every/code
FetchCoder	https://github.com/fetchai/fetchcoder
FetchCoder	https://github.com/fetchai/fetchcoder-releases
Forge	https://github.com/LucasDuys/forge
ForgeCode	https://github.com/antinomyhq/forge
Free Code	https://github.com/paoloanzn/free-code
fusion	https://github.com/Runfusion/Fusion
g3	https://github.com/dhanji/g3
Galley	https://github.com/shinpr/galley
gastown	https://github.com/steveyegge/gastown
gate4agent	https://github.com/ZENG3LD/gate4agent
Gemini CLI	https://github.com/google-gemini/gemini-cli
ghast	https://github.com/aidenybai/ghast
ghostclaw	https://github.com/b1rdmania/ghostclaw
GitClaw	https://github.com/open-gitagent/gitclaw
GitHub Copilot in the CLI	https://github.com/github/copilot-cli
GlanceTerm	https://github.com/jessemaxh/GlanceTerm
gnap	https://github.com/farol-team/gnap
Goose	https://github.com/block/goose
gptme	https://github.com/gptme/gptme
great_cto	https://github.com/avelikiy/great_cto
grite	https://github.com/neul-labs/grite
Grok CLI	https://github.com/superagent-ai/grok-cli
Groq Code CLI	https://github.com/build-with-groq/groq-code-cli
Guardian Agent Prompts	https://github.com/milkomida77/guardian-agent-prompts
guardian-agent-prompts	https://github.com/milkomida77/guardian-agent-prompts
guild	https://github.com/mathomhaus/guild
h5i	https://github.com/h5i-dev/h5i
HagiCode	https://hagicode.com/
handoff	https://github.com/dazuiba/handoff
Harness Starter Kit	https://github.com/harnessworks/harness-starter-kit
hcom	https://github.com/aannoo/hcom
Hephaestus	https://github.com/agentlas-ai/Hephaestus
herdr	https://github.com/ogulcancelik/herdr
Hermes Agent	https://github.com/NousResearch/hermes-agent
hermes-agent	https://github.com/NousResearch/hermes-agent
Hermit	https://github.com/heggria/Hermit
humanlayer	https://github.com/humanlayer/humanlayer
IM.codes	https://github.com/im4codes/imcodes
IronClaw	https://github.com/nearai/ironclaw
ivy-tendril	https://github.com/Ivy-Interactive/Ivy-Tendril
jat	https://github.com/joewinke/jat
jean	https://github.com/coollabsio/jean
Junie CLI	https://junie.jetbrains.com
kasetto	https://github.com/pivoshenko/kasetto
Keen Code	https://github.com/mochow13/keen-code
Kilo Code CLI	https://github.com/Kilo-Org/kilocode
Kimi CLI	https://github.com/MoonshotAI/kimi-cli
KinthAI	https://kinthai.ai
Kode CLI	https://github.com/shareAI-lab/Kode-cli
kodo	https://github.com/ikamensh/kodo
KubeStellar Console kc-agent	https://github.com/kubestellar/console
lalph	https://github.com/tim-smart/lalph
lemon	https://github.com/z80dev/lemon
leon	https://github.com/leon-ai/leon
Letta Code	https://github.com/letta-ai/letta-code
LettaBot	https://github.com/letta-ai/lettabot
lifeos-cli	https://github.com/liujuanjuan1984/lifeos-cli
linear-cli	https://github.com/phnx-labs/linear-cli
LionClaw	https://github.com/moshthepitt/lionclaw
lobsterai	https://github.com/netease-youdao/lobsterai
Loki Mode	https://github.com/asklokesh/loki-mode
loki-mode	https://github.com/asklokesh/loki-mode
loom	https://github.com/ghuntley/loom
LoopTroop	https://github.com/looptroop-ai/LoopTroop
Loopy	https://github.com/arjunkshah/loopy
